year,event_date,spread_t-60,spread_t-40,spread_t-20,spread_t-10,spread_t-5,spread_t-1,spread_t0,spread_t1,spread_t5,spread_t10,change_t-60_to_t-1,change_t-20_to_t-1
2004,2004-12-22,,,,,43.2,38.57,38.05,43.16,41.62,36.67,,
2005,2005-12-27,36.08,31.13,37.08,32.68,31.75,37.51,32.91,32.4,34.44,36.31,1.4299999999999997,0.4299999999999997
2006,2006-12-27,40.11,40.49,40.01,40.26,45.26,41.36,41.32,41.93,39.31,40.63,1.25,1.3500000000000014
2007,2007-12-27,44.16,47.78,46.69,48.89,48.48,49.21,49.78,48.89,49.39,49.22,5.050000000000004,2.520000000000003
2008,2008-12-26,53.01,55.91,55.14,56.47,56.44,55.47,55.24,56.1,58.29,57.52,2.460000000000001,0.3299999999999983
2009,2009-12-28,53.89,51.68,52.63,52.09,52.11,53.76,52.16,52.5,55.86,54.17,-0.13000000000000256,1.1299999999999955
2010,2010-12-27,54.18,54.15,55.18,54.18,54.38,54.53,54.29,53.94,54.85,55.34,0.3500000000000014,-0.6499999999999986
2011,2011-12-27,57.83,59.29,60.74,61.56,59.05,61.56,61.02,60.37,61.4,61.95,3.730000000000004,0.8200000000000003
2012,2012-12-27,63.94,62.36,61.96,62.26,65.96,62.57,62.73,63.96,63.97,63.66,-1.3699999999999974,0.6099999999999994
2013,2013-12-27,52.63,53.81,53.9,52.06,51.44,51.58,52.77,54.31,52.6,51.59,-1.0500000000000043,-2.3200000000000003
2014,2014-12-26,38.29,39.93,41.93,41.79,42.21,42.5,42.04,42.28,42.0,43.06,4.210000000000001,0.5700000000000003
2015,2015-12-28,38.81,37.3,35.23,35.32,35.48,36.08,36.06,36.32,35.99,35.95,-2.730000000000004,0.8500000000000014
2016,2016-12-27,38.54,38.44,37.5,39.23,38.98,38.88,38.71,39.08,39.59,39.89,0.3400000000000034,1.3800000000000026
2017,2017-12-27,39.68,39.74,37.7,38.61,39.8,39.36,39.46,40.48,40.98,43.93,-0.3200000000000003,1.6599999999999966
2018,2018-12-27,42.8,39.74,41.4,39.99,41.7,40.29,41.24,41.09,42.15,41.61,-2.509999999999998,-1.1099999999999994
2019,2019-12-27,37.29,37.28,38.14,38.92,38.89,38.14,38.5,39.44,38.42,38.03,0.8500000000000014,0.0
2020,2020-12-28,29.18,30.0,31.56,32.33,32.41,32.68,32.82,33.51,34.3,35.85,3.5,1.120000000000001
2021,2021-12-27,31.51,31.85,30.63,31.61,31.83,31.75,31.78,32.18,32.74,33.09,0.23999999999999844,1.120000000000001
2022,2022-12-27,30.65,32.69,33.4,31.62,32.18,31.78,32.17,32.44,32.22,33.0,1.1300000000000026,-1.6199999999999974
2023,2023-12-27,35.32,34.88,37.05,34.85,36.03,36.74,37.01,37.6,36.32,36.0,1.4200000000000017,-0.30999999999999517
2024,2024-12-27,35.8,34.46,34.1,34.03,34.06,33.95,33.84,33.57,34.13,33.98,-1.8499999999999943,-0.14999999999999858
2025,2025-12-26,38.64,39.92,39.5,39.83,39.24,39.31,38.88,39.27,40.16,40.62,0.6700000000000017,-0.18999999999999773
