hypothesis,lookback,horizon,events,pairs,supportRate,fwd_common_returnMean,fwd_common_returnCiLow,fwd_common_returnCiHigh,fwd_common_returnP,fwd_spread_changeMean,fwd_spread_changeCiLow,fwd_spread_changeCiHigh,fwd_spread_changeP,fwd_relative_returnMean,fwd_relative_returnCiLow,fwd_relative_returnCiHigh,fwd_relative_returnP,fwd_preferred_returnMean,fwd_preferred_returnCiLow,fwd_preferred_returnCiHigh,fwd_preferred_returnP,H2minusH1CommonMean,H2minusH1CommonCiLow,H2minusH1CommonCiHigh,H2minusH1CommonP,H2minusH1RelativeMean,H2minusH1RelativeCiLow,H2minusH1RelativeCiHigh,H2minusH1RelativeP
H1,5,5,4361,53,0.3898188488878698,0.003950659953818394,0.0014305222012659334,0.00664579044835368,0.9985,-0.4524558587479936,-0.5937686962077648,-0.30026080495357,0.0,-0.0077526051652685776,-0.009922807233314353,-0.005599813654558482,0.0,,,,,-1.6368737049544772e-05,-0.003635995281603417,0.0036382435163120623,0.509,0.00041302285649432585,-0.0021274136558664678,0.0027919533508882106,0.645
H1,5,20,3146,53,0.34329307056579783,0.02413000570967368,0.019388019990282862,0.028834826510987763,1.0,-0.4273553719008264,-0.665882599028058,-0.15207438977153742,0.002,-0.007333623907562352,-0.011014856394922251,-0.0032573108151998428,0.0005,,,,,0.0013070371745808433,-0.006280074655013922,0.008425241097118261,0.3615,-0.008244316203162313,-0.014875397190715253,-0.0023936845740888083,0.0025
H1,5,60,1885,53,0.3230769230769231,0.060283028902767606,0.04874935904259814,0.0729759358167888,1.0,-0.41633952254641915,-0.7962861246088654,0.11932196261989815,0.0545,-0.013569762577951349,-0.023570427064792062,-0.0031154687622119955,0.0115,,,,,0.009964347812911764,-0.005521873228123921,0.027047016581876214,0.11,-0.007274097865229534,-0.020515455315040947,0.004211443815751523,0.127
H1,20,5,1474,53,0.3948439620081411,0.003206746708315758,-0.0007568123517652853,0.007467295781068751,0.935,-0.36383310719131606,-0.5236546673721016,-0.18890934220926797,0.0005,-0.006103523634025391,-0.008584139829839717,-0.0034728530577412,0.0,,,,,0.0031810599195627406,-0.0026618307511027408,0.008535570968019211,0.149,-0.0024198116486064507,-0.0072876971344431165,0.0020015178291402824,0.1525
H1,20,20,1453,53,0.370956641431521,0.023916204361975724,0.014582148892203653,0.03434499292354056,1.0,-0.8944666207845835,-1.2680879262237041,-0.4833478132161956,0.0,-0.015253173122118085,-0.02294145852215768,-0.007692873435503552,0.0,,,,,0.004572044110899318,-0.008819294133234398,0.016903793062159646,0.257,-0.0010453046159060037,-0.008493724726088229,0.006018730336761991,0.378
H1,20,60,1058,53,0.34026465028355385,0.07880370034548916,0.056581308323220045,0.10488872569237383,1.0,-1.1041871455576557,-1.6536744724375536,-0.47823441484561974,0.0005,-0.017540911838054115,-0.030551193398945308,-0.002707455740597558,0.0105,,,,,0.0054843653094108075,-0.021842996604457255,0.031061661069956524,0.343,-0.03168495479497413,-0.0555771439308278,-0.009946816609720627,0.002
H2,5,5,2840,53,0.19859154929577466,0.003934291216768848,0.0013157115499711713,0.00681440523217444,0.0025,-0.2857781690140845,-0.39821819125834085,-0.1898343387915724,0.0,-0.007339582308774252,-0.009687275779899003,-0.005220891672636681,0.0,,,,,-1.6368737049544772e-05,-0.003635995281603417,0.0036382435163120623,0.509,0.00041302285649432585,-0.0021274136558664678,0.0027919533508882106,0.645
H2,5,20,2136,53,0.1348314606741573,0.025437042884254524,0.018025222935742827,0.03287671826016432,0.0,-0.5794475655430711,-0.7999128496680293,-0.37153157516525953,0.0,-0.015577940110724666,-0.020962900809540306,-0.010599750293253803,0.0,,,,,0.0013070371745808433,-0.006280074655013922,0.008425241097118261,0.3615,-0.008244316203162313,-0.014875397190715253,-0.0023936845740888083,0.0025
H2,5,60,1381,53,0.09920347574221579,0.07024737671567936,0.05344252618440479,0.08923889399539867,0.0,-0.4620275162925416,-0.8085751691564834,-0.15036058231497698,0.003,-0.020843860443180887,-0.0331476354092918,-0.008915009109073505,0.0,,,,,0.009964347812911764,-0.005521873228123921,0.027047016581876214,0.11,-0.007274097865229534,-0.020515455315040947,0.004211443815751523,0.127
H2,20,5,1267,53,0.21625887924230466,0.006387806627878499,0.002083463248231635,0.01066117764181637,0.0015,-0.3817205998421469,-0.5885847979790751,-0.17237729409311708,0.0,-0.008523335282631841,-0.012791710963229485,-0.004709311259866063,0.0,,,,,0.0031810599195627406,-0.0026618307511027408,0.008535570968019211,0.149,-0.0024198116486064507,-0.0072876971344431165,0.0020015178291402824,0.1525
