year,yearEndDate,strategyValue,strategyYoY,kospiValue,kospiYoY,excessYoY,cumulativeDividends
1996,1996-12-27,8983493.23,,7906705.68094897,,,0.0
1997,1997-12-27,6282120.92,-0.30070399574398077,4568920.51042337,-0.4221461257332392,0.12144212998925841,0.0
1998,1998-12-28,26170096.71,3.165805950452797,6829037.310442796,0.4946719460019664,2.6711340044508307,0.0
1999,1999-12-28,54509942.24999999,1.0829094693093317,12482182.533419132,0.8278099775984069,0.25509949171092483,0.0
2000,2000-12-26,26730348.99999999,-0.5096243383013308,6126780.228986316,-0.5091579367163714,-0.0004664015849593639,0.0
2001,2001-12-28,18395826.99113811,-0.31179996972212676,8422471.255296674,0.3746977923982402,-0.686497762120367,0.0
2002,2002-12-30,12396700.611138107,-0.3261134377318283,7619319.354564549,-0.09535822401614524,-0.23075521371568308,290700.0
2003,2003-12-30,8588771.411138108,-0.30717279697621125,9843133.4458434,0.29186519002469935,-0.5990379870009106,290700.0
2004,2004-12-30,9417874.7453734,0.09653340327117022,10877699.938078992,0.10510540143824554,-0.008571998167075323,540218.506
2005,2005-12-29,13272396.387773402,0.4092772251291157,16747447.276082706,0.5396129118671309,-0.1303356867380152,664008.0584000001
2006,2006-12-28,13273924.3177734,0.00011512088362630735,17416315.578597184,0.03993852265889508,-0.039823401775268774,810248.0584000001
2007,2007-12-28,25417491.407773398,0.9148437793742814,23033765.161540985,0.32253949221309774,0.5923042871611837,984473.0584000001
2008,2008-12-30,14110418.0077734,-0.444854026646468,13652611.002513265,-0.40727836257926453,-0.037575664067203474,1387258.0584
2009,2009-12-30,21296862.697773397,0.5093006235563682,20431140.196447436,0.49650057360356437,0.012800049952803816,1724683.0584
2010,2010-12-30,39976621.1577734,0.8771131562938133,24901958.403652124,0.2188237251674321,0.6582894311263812,2797643.0584
2011,2011-12-29,49558173.0677734,0.23967888311983776,22166992.460206646,-0.10982935153583617,0.34950823465567393,3855973.0584
2012,2012-12-28,70959974.4277734,0.43185210501468463,24246931.267680876,0.09383044683251729,0.33802165818216734,4795003.0583999995
2013,2013-12-30,84910492.4277734,0.1965969986953635,24420431.504437674,0.007155554442803247,0.18944144425256026,6000588.0583999995
2014,2014-12-30,115945665.7703734,0.3655045737604119,23257894.928548012,-0.04760507920093082,0.4131096529613427,6958297.521
2015,2015-12-30,118578507.72537342,0.022707549588048215,23812998.555176474,0.023867320251202084,-0.0011597706631538696,8266380.136
2016,2016-12-29,123592764.34037341,0.042286386556769306,24604009.08174787,0.03321759436295135,0.009068792193817954,10373077.751
2017,2017-12-28,121764297.8053734,-0.014794284639223942,29958719.327853523,0.21763567995420585,-0.2324299645934298,11739560.366
2018,2018-12-28,115139627.57037342,-0.054405686678280496,24781030.317011278,-0.17282744813555473,0.11842176145727423,14611792.981
2019,2019-12-30,122598276.7853734,0.0647791674542395,26682733.75180603,0.07674028926429655,-0.01196112181005704,16008735.596
2020,2020-12-30,235981081.08537343,0.9248319574547819,34887874.40962568,0.307507496575919,0.6173244608788628,17359355.596
2021,2021-12-30,252021268.83537343,0.0679723462415911,36152762.769690275,0.03625581613867568,0.03171653010291542,17887939.096
2022,2022-12-29,129819408.38537343,-0.4848870931200069,27152969.173051007,-0.24893792084361832,-0.23594917227638856,19687762.596
2023,2023-12-28,105176993.58537343,-0.18982072947712203,32238747.98149655,0.18730101949561817,-0.3771217489727402,21156051.096
2024,2024-12-30,73948552.58537343,-0.29691323107321466,29133105.88492405,-0.09633259015998341,-0.20058064091323125,21271188.096
2025,2025-12-30,112838854.88537343,0.525910257068267,51165814.74691305,0.7562773756089838,-0.2303671185407168,21831000.096
2026,2026-06-10,132395952.33537343,0.1733188224026816,65287811.274480045,0.2760045275819438,-0.10268570517926223,21831000.096
