date,cash,equity,dividendCash,cumulativeDividends,holdings,top3,pendingSwapBuy,pendingSwapSell,positionValue,kospiClose,kospiValue
1996-06-25,10000000.0,10000000.0,0.0,0.0,,"yuhwa_sec,namyang_dairy,samsung_elec",,,0.0,,
1996-06-26,2397.839999999851,9901013.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,lg",,,9898616.0,823.63,10000000.0
1996-06-27,2397.839999999851,10142509.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10140112.0,820.05,9956533.880504595
1996-06-28,2397.839999999851,10175629.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10173232.0,823.53,9998785.862583928
1996-06-29,2397.839999999851,10346009.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,lg,samsung_elec",,,10343612.0,817.43,9924723.480203489
1996-07-01,2397.839999999851,10475677.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10473280.0,833.79,10123356.361472992
1996-07-02,2397.839999999851,10295489.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10293092.0,837.93,10173621.650498403
1996-07-03,2397.839999999851,10299523.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10297126.0,838.24,10177385.476488229
1996-07-04,2397.839999999851,10310033.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,byc",,,10307636.0,841.51,10217087.769993808
1996-07-05,2397.839999999851,10396333.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10393936.0,845.12,10260918.130714035
1996-07-06,2397.839999999851,10445747.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10443350.0,850.39,10324903.172541069
1996-07-08,2397.839999999851,10365443.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10363046.0,847.99,10295763.874555321
1996-07-09,2397.839999999851,10291465.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10289068.0,858.05,10417906.098612241
1996-07-10,2397.839999999851,10408609.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",korea_circuit,samsung_elec,10406212.0,858.79,10426890.71549118
1996-07-11,2397.839999999851,10404641.84,0.0,0.0,"namyang_dairy,samsung_elec,yuhwa_sec","yuhwa_sec,namyang_dairy,lotte_chilsung",korea_circuit,samsung_elec,10402244.0,847.39,10288479.050058886
1996-07-12,73920.22999999998,10353875.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,korea_circuit,lg",,,10279955.0,839.82,10196568.847662179
1996-07-13,73920.22999999998,10203586.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,korea_circuit,lg",,,10129666.0,835.3,10141689.83645569
1996-07-15,73920.22999999998,9712298.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,9638378.0,814.11,9884414.117989874
1996-07-16,73920.22999999998,9781351.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,9707431.0,812.66,9866809.12545682
1996-07-18,73920.22999999998,9909899.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,9835979.0,816.47,9913067.76100919
1996-07-19,73920.22999999998,9980973.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,lg",,,9907053.0,837.39,10167065.30845161
1996-07-20,73920.22999999998,10226635.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10152715.0,840.05,10199361.363719147
1996-07-22,73920.22999999998,10305903.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10231983.0,838.75,10183577.5773102
1996-07-23,73920.22999999998,10163073.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10089153.0,838.78,10183941.818535022
1996-07-24,73920.22999999998,10131862.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,namyang_dairy,korea_circuit",,,10057942.0,832.48,10107451.16132244
1996-07-25,73920.22999999998,9861805.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,korea_circuit,namyang_dairy",,,9787885.0,820.29,9959447.81030317
1996-07-26,73920.22999999998,10023103.23,0.0,0.0,"korea_circuit,namyang_dairy,yuhwa_sec","yuhwa_sec,korea_circuit,lotte_chilsung",,,9949183.0,814.03,9883442.808057016
