date,pairId,pairName,shares,amountPerShare,cashDividend,cashAfter
2002-12-27,hyundai_motor_3pref,현대차/3우,323,900.0,290700.0,291942.9611381078
2004-12-29,amore_holdings,아모레G,386,646.421,249518.50600000002,249841.26537340038
2005-12-28,korea_circuit,코리아써키트/우,1634,75.7586,123789.5524,139122.3877734007
2006-12-27,byc,BYC,673,80.0,53840.0,180949.01777340006
2006-12-27,lg_household,LG생활건강,84,1100.0,92400.0,273349.01777340006
2007-12-27,amorepacific,아모레퍼시픽,345,505.0,174225.0,1126471.4077733997
2008-12-29,amorepacific,아모레퍼시픽,347,505.0,175235.0,2161862.0077733994
2008-12-29,lg_household,LG생활건강,111,2050.0,227550.0,2389412.0077733994
2009-12-29,lg_household,LG생활건강,79,2550.0,201450.0,1091987.6977733988
2009-12-29,amorepacific,아모레퍼시픽,245,555.0,135975.0,1227962.6977733988
2010-12-29,lg_household,LG생활건강,79,2700.0,213300.0,5729961.1577734
2010-12-29,amorepacific,아모레퍼시픽,272,605.0,164560.0,5894521.1577734
2010-12-29,kumho_petro,금호석유,662,1050.0,695100.0,6589621.1577734
2011-12-28,nexen_tire,넥센타이어,4912,65.0,319280.0,11166973.067773402
2011-12-28,hyundai_motor_3pref,현대차/3우,167,1800.0,300600.0,11467573.067773402
2011-12-28,cj_cheiljedang,CJ제일제당,237,1850.0,438450.0,11906023.067773402
2012-12-27,nexen_tire,넥센타이어,4912,65.0,319280.0,11050530.427773401
2012-12-27,cj_cheiljedang,CJ제일제당,335,1850.0,619750.0,11670280.427773401
2013-12-27,nexen_tire,넥센타이어,4912,70.0,343840.0,11477177.427773401
2013-12-27,korea_circuit,코리아써키트/우,5833,105.0,612465.0,12089642.427773401
2013-12-27,lotte_chilsung,롯데칠성,656,380.0,249280.0,12338922.427773401
2014-12-29,sebang,세방,5192,155.0,804760.0,806380.3077734038
2014-12-29,namyang_dairy,남양유업,1474,103.7649,152949.4626,959329.7703734038
2015-12-29,namyang_dairy,남양유업,1350,103.7649,140082.615,2470057.725373408
2015-12-29,kolon_industries,코오롱인더,1387,550.0,762850.0,3232907.725373408
2015-12-29,lotte_chilsung,롯데칠성,438,925.0,405150.0,3638057.725373408
2016-12-28,namyang_dairy,남양유업,1350,103.7649,140082.615,9329199.34037341
2016-12-28,kumho_petro,금호석유,1435,850.0,1219750.0,10548949.34037341
2016-12-28,nexen_tire,넥센타이어,7113,105.0,746865.0,11295814.34037341
2017-12-27,namyang_dairy,남양유업,1350,103.7649,140082.615,162287.8053734058
2017-12-27,kumho_petro,금호석유,1168,1050.0,1226400.0,1388687.8053734058
2018-12-27,namyang_dairy,남양유업,1350,103.7649,140082.615,10366027.570373407
2018-12-27,kumho_petro,금호석유,1168,1400.0,1635200.0,12001227.570373407
2018-12-27,cj_cheiljedang,CJ제일제당,309,3550.0,1096950.0,13098177.570373407
2019-12-27,namyang_dairy,남양유업,1350,103.7649,140082.615,14608726.785373403
2019-12-27,nexen_tire,넥센타이어,11426,110.0,1256860.0,15865586.785373403
2020-12-29,amorepacific,아모레퍼시픽,553,805.0,445165.0,51239721.58537343
2020-12-29,amore_holdings,아모레G,3853,235.0,905455.0,52145176.58537343
2021-12-29,solus,솔루스첨단소재/1우,10467,50.5,528583.5,529443.8353734314
2022-12-28,solus,솔루스첨단소재/1우,10467,50.5,528583.5,534068.3853734285
2022-12-28,sebang,세방,4168,305.0,1271240.0,1805308.3853734285
2023-12-27,solus,솔루스첨단소재/1우,10467,50.5,528583.5,529328.5853734314
2023-12-27,amorepacific,아모레퍼시픽,1027,915.0,939705.0,1469033.5853734314
2024-12-27,solus,솔루스첨단소재/1우,10467,11.0,115137.0,6366613.585373431
2025-12-29,solus,솔루스첨단소재/1우,10467,11.0,115137.0,9223289.885373428
2025-12-29,korea_circuit_2pref,코리아써키트/2우B,4235,105.0,444675.0,9667964.885373428
